code_system,code,display,resource_count,value_type,observed_units
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220645,Sodium (serum),993,valueQuantity,mEq/L [mEq/L]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220650,Total Protein,7,valueQuantity,g/dL [g/dL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220734,PH (dipstick),80,valueQuantity,units [units]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220739,GCS - Eye Opening,3274,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220765,Intra Cranial Pressure,302,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223679,TCO2 (calc) Venous,89,valueQuantity,mEq/L [mEq/L]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223751,Non-Invasive Blood Pressure Alarm - High,876,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223752,Non-Invasive Blood Pressure Alarm - Low,876,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223758,Code Status,147,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223759,Precautions: Standard +,64,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223760,Health Care Proxy,23,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223761,Temperature Fahrenheit,3379,valueQuantity,°F [°F]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223762,Temperature Celsius,391,valueQuantity,°C [°C]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223763,Bladder Pressure,45,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223764,Orthostatic HR lying,1,valueQuantity,bpm [bpm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223765,Orthostatic HR sitting,2,valueQuantity,bpm [bpm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223766,Orthostatic BPs standing,1,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223767,Intra Cranial Pressure Alarm - High,21,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223768,Intra Cranial Pressure Alarm - Low,21,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223769,O2 Saturation Pulseoxymetry Alarm - High,1208,valueQuantity,% [%]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223770,O2 Saturation Pulseoxymetry Alarm - Low,1212,valueQuantity,% [%]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223771,PCWP,8,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223772,SvO2,89,valueQuantity,% [%]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223773,PA Line cm Mark,55,valueQuantity,cm [cm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223780,Daily Wake Up Deferred,29,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223781,Pain Present,3330,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223782,Pain Type,1901,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223783,Pain Location,2780,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223784,Pain Cause,2237,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223791,Pain Level,1456,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223791,Pain Level,643,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223792,Pain Management,5371,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223794,Pain Level Acceptable,2065,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223795,Pain Assessment Method,3310,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223796,Untoward Effect,1415,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223797,Sensory Level,42,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223800,Epidural Appearance,55,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223801,NMB Medication,14,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223802,Nerve Stimulated,26,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223805,Nausea and Vomiting (CIWA),62,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223806,Tremor (CIWA),62,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223810,Paroxysmal Sweats,62,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223811,Anxiety,62,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223814,Auditory Disturbance,62,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223817,Agitation,62,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223818,Tactile Disturbances,62,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223819,Visual Disturbances,62,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223820,Headache,62,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223821,Orient/Clouding Sensory,60,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223823,Insomnia,61,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223824,Seizure,61,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223825,Sustained Nystagmus,49,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223827,Ataxia,48,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223828,Slurred Speech,49,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223829,Drowsiness,49,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223830,PH (Arterial),644,valueQuantity,units [units]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223834,O2 Flow,1090,valueQuantity,L/min [L/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223835,Inspired O2 Fraction,1746,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223836,Airway Type,105,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223837,ETT Size (ID),1143,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223838,ETT Location,1150,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223847,Passey Muir Valve in use,4,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223848,Ventilator Type,906,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223848,Ventilator Type,386,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223849,Ventilator Mode,1011,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223849,Ventilator Mode,37,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223872,Inspired Gas Temp.,963,valueQuantity,°C [°C]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223873,Paw High,1296,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223874,Vti High,1258,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223875,Fspn High,1179,valueQuantity,insp/min [insp/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223876,Apnea Interval,1288,valueQuantity,sec [sec]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223898,Orientation,259,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223900,GCS - Verbal Response,3266,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223901,GCS - Motor Response,3251,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223902,Speech,252,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223904,Gag Reflex,988,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223905,Cough Reflex,996,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223907,Pupil Size Right,2546,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223911,Spontaneous Movement,245,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223916,Response to Stimuli (Type),244,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223917,RU Strength/Movement,246,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223918,RL Strength/Movement,246,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223919,LU Strength/Movement,245,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223920,LL Strength/Movement,242,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223923,Seizure Activity,32,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223924,RLE Sensation,62,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223925,Seizure Duration,7,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223926,Neuro Drain #1 Type,246,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223930,Neuro Drain #1 Level,247,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223931,Neuro Drain #1 Status,461,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223932,Neuro Drain #1 Drainage,238,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223934,Dorsal PedPulse R,2207,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223935,PostTib. Pulses R,1641,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223936,Radial Pulse R,1301,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223938,Ulnar Pulse R,72,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223939,Brachial Pulse R,47,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223940,Femoral Pulse R,34,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223941,Popliteal Pulse R,11,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223942,Graft/Flap Pulse,3,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223943,Dorsal PedPulse L,2160,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223944,Brachial Pulse L,28,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223945,Femoral Pulse L,32,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223946,Popliteal Pulse L,11,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223947,PostTib. Pulses L,1620,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223948,Radial Pulse L,1279,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223949,Ulnar Pulse L,70,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223951,Capillary Refill R,1540,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223952,Pericardial Drain Status,23,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223953,Pericardial Drain Drainage,21,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223954,Pericardial Drain Site,22,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223955,Temporary Pacemaker Type,121,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223956,Temporary Pacemaker Mode,121,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223958,Temporary Venticular Sens Threshold mV,50,valueQuantity,mV [mV]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223960,Temporary Venticular Stim Threshold mA,50,valueQuantity,mA [mA]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223961,Temporary Pacemaker Wire Condition,123,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223962,Temporary Pacemaker Wires Venticular,123,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223966,Transcutaneous Pacer Placement,4,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223967,Angio Site # 1,248,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223968,Angio Appearance # 1,262,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223970,Angio Dressing # 1,233,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223971,Angio Site # 2,49,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223972,Angio Appearance # 2,49,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223973,Angio Dressing # 2,46,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223976,RUE Color,1718,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223979,RLE Color,1754,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223982,LUE Color,1718,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223983,LLE Color,1738,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223985,Respiratory Pattern,1253,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223986,RUL Lung Sounds,3047,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223987,RLL Lung Sounds,3104,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223988,LUL Lung Sounds,3015,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223989,LLL Lung Sounds,3070,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223990,Respiratory Effort,1241,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223991,Cough Effort,2096,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223992,Cough Type,1660,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223993,Chest Tube Site # 1,336,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223994,CT #1 Suction Amount,305,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223995,CT #1 Fluctuate,280,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223996,CT #1 Drainage,317,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223997,CT #1 Dressing,318,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223998,CT #1 Crepitus,297,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,223999,Oral Cavity,2471,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224000,Nares R,1693,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224001,Diet Type,2570,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224003,Abdominal Assessment,2898,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224004,Bowel Sounds,2245,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224005,Flatus,757,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224006,Emesis Appearance,21,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224007,GI #1 Intub Site,1218,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224009,GI #1 Tube Drainage,395,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224010,GI #1 Tube Place Check,16,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224011,Stool Consistency,672,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224012,Stool Management,535,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224013,Stool Guaiac,36,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224015,Urine Source,2359,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224016,Urine Color,2087,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224017,GU Catheter Size,1703,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224019,Bladder Irrigation,26,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224023,Support Systems,1604,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224024,Family Communication,1543,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224025,Spiritual Support,12,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224026,Skin Integrity,1993,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224027,Skin Temperature,1969,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224028,Skin Color,1945,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224031,Edema Location,2181,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224032,Impaired Skin Site #1,436,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224037,Impaired Skin Cleanse #1,154,valueString,
